Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,Mossbauer Internal
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,593
Lower Discriminator:,344
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,January 30, 2023, 01:13:40
End Time:,January 30, 2023, 05:20:42
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,26297
1,,25939
2,,25908
3,,25833
4,,25991
5,,26115
6,,26054
7,,26172
8,,26282
9,,26455
10,,26146
11,,25722
12,,25961
13,,26119
14,,26057
15,,26228
16,,25620
17,,26117
18,,26082
19,,26102
20,,26027
21,,25781
22,,26177
23,,25776
24,,26195
25,,25863
26,,25930
27,,26086
28,,25850
29,,26220
30,,26096
31,,26235
32,,26054
33,,25999
34,,25949
35,,26047
36,,26120
37,,25798
38,,25959
39,,26238
40,,25881
41,,25762
42,,26053
43,,26521
44,,26176
45,,26116
46,,25883
47,,25783
48,,26203
49,,25647
50,,26076
51,,26055
52,,25881
53,,26140
54,,25926
55,,26154
56,,25999
57,,26026
58,,26117
59,,26112
60,,25664
61,,25671
62,,25815
63,,26133
64,,25796
65,,26180
66,,25800
67,,26057
68,,26090
69,,26286
70,,26005
71,,26268
72,,25960
73,,25837
74,,25953
75,,25911
76,,25875
77,,25844
78,,25913
79,,26083
80,,25636
81,,26084
82,,26334
83,,25989
84,,25848
85,,25813
86,,25803
87,,26075
88,,26035
89,,26302
90,,25888
91,,26211
92,,26097
93,,26249
94,,25871
95,,25893
96,,26096
97,,25973
98,,26109
99,,26233
100,,26116
101,,26226
102,,25942
103,,25731
104,,26284
105,,25852
106,,26142
107,,26081
108,,25957
109,,26001
110,,25957
111,,26158
112,,25588
113,,25949
114,,25886
115,,25894
116,,26079
117,,26023
118,,26035
119,,25994
120,,26011
121,,26032
122,,25547
123,,26011
124,,25836
125,,25991
126,,25851
127,,26114
128,,26109
129,,26058
130,,25940
131,,25828
132,,25871
133,,25893
134,,26024
135,,25903
136,,25815
137,,25875
138,,25799
139,,25848
140,,25960
141,,25798
142,,25783
143,,25806
144,,26068
145,,26147
146,,25856
147,,25853
148,,26114
149,,25784
150,,26102
151,,26059
152,,25906
153,,25688
154,,25898
155,,25718
156,,26100
157,,26006
158,,25775
159,,25903
160,,25976
161,,25691
162,,25954
163,,26082
164,,25895
165,,25780
166,,26055
167,,25911
168,,25663
169,,25750
170,,25984
171,,25820
172,,25704
173,,25788
174,,25764
175,,25823
176,,26123
177,,25833
178,,25674
179,,26013
180,,25843
181,,25993
182,,25662
183,,25872
184,,25980
185,,25949
186,,25990
187,,25638
188,,25818
189,,25998
190,,26004
191,,25771
192,,25985
193,,25977
194,,26042
195,,25810
196,,25589
197,,25860
198,,25601
199,,26029
200,,25661
201,,25725
202,,26063
203,,25767
204,,25782
205,,25760
206,,25907
207,,25701
208,,25731
209,,25773
210,,25938
211,,26073
212,,25653
213,,25700
214,,26018
215,,25918
216,,25907
217,,25645
218,,26013
219,,26060
220,,25763
221,,25988
222,,25838
223,,25843
224,,25765
225,,25746
226,,26069
227,,25885
228,,25940
229,,26037
230,,25772
231,,25908
232,,26235
233,,26101
234,,25765
235,,25796
236,,26110
237,,26022
238,,25917
239,,25762
240,,25862
241,,25677
242,,25902
243,,25618
244,,25834
245,,26184
246,,25823
247,,25788
248,,25847
249,,25800
250,,25905
251,,25903
252,,26094
253,,26179
254,,25633
255,,25877
256,,25996
257,,25817
258,,25710
259,,25788
260,,25656
261,,25453
262,,25415
263,,25206
264,,24676
265,,24409
266,,24831
267,,25008
268,,25430
269,,25453
270,,25431
271,,25589
272,,25863
273,,25554
274,,25899
275,,25644
276,,25705
277,,25985
278,,25597
279,,25813
280,,25825
281,,25914
282,,25966
283,,25371
284,,25070
285,,25091
286,,25269
287,,25234
288,,25717
289,,25748
290,,25902
291,,25778
292,,25508
293,,25611
294,,25637
295,,25909
296,,25702
297,,25655
298,,25915
299,,25838
300,,25352
301,,25260
302,,25355
303,,25512
304,,25844
305,,25683
306,,25759
307,,25952
308,,25837
309,,25810
310,,25852
311,,25778
312,,25683
313,,25548
314,,25272
315,,25260
316,,25300
317,,25746
318,,25737
319,,25882
320,,25920
321,,25781
322,,26023
323,,25833
324,,25745
325,,25872
326,,25907
327,,25641
328,,25619
329,,25850
330,,25790
331,,25571
332,,25318
333,,25097
334,,24774
335,,25002
336,,25311
337,,25500
338,,25541
339,,25407
340,,25511
341,,26107
342,,25813
343,,25769
344,,25828
345,,25730
346,,25793
347,,25779
348,,25618
349,,25916
350,,25964
351,,25584
352,,25798
353,,25710
354,,25748
355,,25783
356,,25565
357,,25789
358,,25836
359,,25722
360,,25755
361,,25710
362,,25417
363,,25372
364,,25871
365,,25790
366,,25790
367,,25651
368,,25721
369,,25791
370,,25671
371,,25697
372,,25710
373,,25878
374,,26130
375,,25782
376,,25880
377,,25721
378,,25769
379,,25766
380,,25482
381,,25692
382,,25887
383,,26105
384,,25681
385,,25696
386,,26007
387,,25591
388,,25862
389,,25972
390,,25863
