Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,Mossbauer Internal
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,584
Lower Discriminator:,414
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,January 23, 2023, 05:12:09
End Time:,January 23, 2023, 09:22:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,17985
1,,18066
2,,17995
3,,17777
4,,17830
5,,17950
6,,17937
7,,17857
8,,17998
9,,18033
10,,17928
11,,17764
12,,17752
13,,17770
14,,17648
15,,17796
16,,18069
17,,17891
18,,17870
19,,17654
20,,17943
21,,17581
22,,18192
23,,17924
24,,17852
25,,17855
26,,17779
27,,17856
28,,17793
29,,18022
30,,17892
31,,17784
32,,17863
33,,17933
34,,17862
35,,17914
36,,17976
37,,17802
38,,18090
39,,17871
40,,17730
41,,17725
42,,17820
43,,17792
44,,17897
45,,17728
46,,17922
47,,17511
48,,17701
49,,17951
50,,17767
51,,17767
52,,17816
53,,17801
54,,17656
55,,17958
56,,17975
57,,17980
58,,17729
59,,17587
60,,17802
61,,17829
62,,17925
63,,18072
64,,17685
65,,17798
66,,18039
67,,17827
68,,17946
69,,17973
70,,18097
71,,18038
72,,17763
73,,17904
74,,17783
75,,17866
76,,17889
77,,17910
78,,17897
79,,17626
80,,17854
81,,17882
82,,17879
83,,17739
84,,17711
85,,17741
86,,17814
87,,17952
88,,17760
89,,17978
90,,17740
91,,17833
92,,17748
93,,17720
94,,17710
95,,17824
96,,17531
97,,17722
98,,17675
99,,17589
100,,17714
101,,17582
102,,17377
103,,17292
104,,17210
105,,17248
106,,16667
107,,16479
108,,16609
109,,16461
110,,16584
111,,16898
112,,17033
113,,17162
114,,17231
115,,17349
116,,17420
117,,17762
118,,17650
119,,17511
120,,17607
121,,17525
122,,17818
123,,17628
124,,17576
125,,17576
126,,17865
127,,17963
128,,18005
129,,17860
130,,17769
131,,17935
132,,17829
133,,17770
134,,17847
135,,17855
136,,18085
137,,18123
138,,17706
139,,17790
140,,17766
141,,17864
142,,17864
143,,18094
144,,17826
145,,17662
146,,17693
147,,17767
148,,17905
149,,17805
150,,17738
151,,17812
152,,17690
153,,17722
154,,17747
155,,17679
156,,17763
157,,17405
158,,17570
159,,17396
160,,17291
161,,16892
162,,16727
163,,16797
164,,17003
165,,17180
166,,17245
167,,17436
168,,17565
169,,17388
170,,17522
171,,17504
172,,17715
173,,17585
174,,17782
175,,17652
176,,17736
177,,17897
178,,17766
179,,17789
180,,17775
181,,17806
182,,17730
183,,17727
184,,17747
185,,17723
186,,17955
187,,17875
188,,18132
189,,17805
190,,17743
191,,17653
192,,17800
193,,17799
194,,17876
195,,17921
196,,17725
197,,17909
198,,17905
199,,17829
200,,17951
201,,17761
202,,17974
203,,17959
204,,17913
205,,17664
206,,17918
207,,18046
208,,17736
209,,17879
210,,17615
211,,17582
212,,17543
213,,17433
214,,17542
215,,17319
216,,17248
217,,17165
218,,16986
219,,17203
220,,17664
221,,17626
222,,17709
223,,17463
224,,17658
225,,17615
226,,17752
227,,17824
228,,17703
229,,17865
230,,17918
231,,17759
232,,17860
233,,17944
234,,17866
235,,17861
236,,17760
237,,17745
238,,18157
239,,17859
240,,17864
241,,17862
242,,17753
243,,17819
244,,17743
245,,18010
246,,18019
247,,17582
248,,17947
249,,17753
250,,17701
251,,17792
252,,17921
253,,17555
254,,17720
255,,17489
256,,17581
257,,17256
258,,17123
259,,17258
260,,16976
261,,17398
262,,17506
263,,17526
264,,17811
265,,17665
266,,17669
267,,17436
268,,17809
269,,17947
270,,17763
271,,17702
272,,17504
273,,17948
274,,17932
275,,17726
276,,17791
277,,18009
278,,18032
279,,17740
280,,17864
281,,17737
282,,17854
283,,17642
284,,17973
285,,17837
286,,17967
287,,17821
288,,18037
289,,18217
290,,17913
291,,17759
292,,17918
293,,17908
294,,17744
295,,18079
296,,17999
297,,17767
298,,17795
299,,17755
300,,18060
301,,17833
302,,17788
303,,17607
304,,17697
305,,17836
306,,17833
307,,17402
308,,17444
309,,17652
310,,17270
311,,17081
312,,16857
313,,16609
314,,16754
315,,16752
316,,17000
317,,17320
318,,17071
319,,17591
320,,17533
321,,17537
322,,17547
323,,17927
324,,17629
325,,17747
326,,17770
327,,17907
328,,17808
329,,17768
330,,17833
331,,17729
332,,17792
333,,17891
334,,17840
335,,17837
336,,17922
337,,17841
338,,17751
339,,17859
340,,17865
341,,17874
342,,17792
343,,17979
344,,17773
345,,17659
346,,17715
347,,17730
348,,17750
349,,17712
350,,17782
351,,17663
352,,17763
353,,17967
354,,17954
355,,17787
356,,17669
357,,17755
358,,17868
359,,17818
360,,17811
361,,17644
362,,17769
363,,17626
364,,17568
365,,17352
366,,16986
367,,16536
368,,16599
369,,16390
370,,16399
371,,16666
372,,16686
373,,17046
374,,17163
375,,17381
376,,17470
377,,17470
378,,17720
379,,17539
380,,17884
381,,17650
382,,17785
383,,17476
384,,17441
385,,17723
386,,17833
387,,17837
388,,17860
389,,17841
390,,17802
391,,17841
392,,17804
393,,17804
394,,17900
395,,17666
396,,17726
397,,17721
398,,17639
399,,17770
400,,17900
401,,18034
402,,17931
403,,17927
404,,17821
405,,17856
406,,17986
407,,17735
408,,17938
409,,17743
410,,18005
411,,17874
412,,18048
413,,17632
414,,17836
415,,17800
416,,17845
417,,17756
418,,17797
419,,17901
420,,17578
421,,17874
422,,17878
423,,17825
424,,17952
425,,17878
426,,17900
427,,17940
428,,17683
429,,17968
430,,17860
431,,17909
432,,17528
433,,17964
434,,17743
435,,17975
436,,17842
437,,18126
438,,17736
439,,18039
440,,17989
441,,17858
442,,17716
443,,17941
444,,17796
445,,17749
446,,17757
447,,18119
448,,17600
449,,17709
450,,17958
451,,17973
452,,18251
453,,18106
454,,17989
455,,18125
456,,17779
457,,17953
458,,17932
459,,17961
460,,18091
461,,17932
462,,17774
463,,17964
464,,17798
465,,17700
466,,17788
467,,17811
468,,17743
469,,17833
470,,17896
471,,17666
472,,17862
473,,17918
474,,17916
475,,17718
476,,17849
477,,17890
478,,17966
479,,17872
480,,17988
481,,17866
482,,17800
483,,17872
484,,17962
485,,17869
486,,17802
487,,17744
488,,17823
489,,17728
490,,17724
491,,18022
492,,17952
493,,17795
494,,17993
495,,17961
496,,17988
497,,17895
498,,17722
499,,17588
500,,17865
501,,17988
502,,17825
503,,17843
504,,18131
505,,17661
506,,17805
507,,17626
508,,18021
509,,17604
510,,17763
511,,17711
512,,17845
513,,17896
514,,17913
515,,17950
516,,17746
517,,17800
518,,17772
519,,17858
520,,18025
521,,17741
522,,17898
523,,17657
524,,17857
525,,17823
526,,17764
527,,17590
528,,18008
529,,17900
530,,17605
531,,17744
532,,17676
533,,17759
534,,17990
535,,17684
536,,17917
537,,17854
538,,17663
539,,17647
540,,17767
541,,17759
542,,18034
543,,17942
544,,17800
545,,17788
546,,17854
547,,17793
548,,17612
549,,18009
550,,17667
551,,17771
552,,17919
553,,17794
554,,17587
555,,17920
556,,17935
557,,17757
558,,17676
559,,17661
560,,17685
561,,17881
562,,17804
563,,18040
564,,17738
565,,17811
566,,17735
567,,17452
568,,17669
569,,17908
570,,17802
571,,17814
572,,17802
573,,17752
574,,17661
575,,17738
576,,18142
577,,17713
578,,17949
579,,17872
580,,17917
581,,17679
582,,17800
583,,17644
584,,17850
585,,17785
586,,17830
587,,17545
588,,17761
589,,17903
590,,17518
591,,17900
592,,17705
593,,17791
594,,17884
595,,17568
596,,17713
597,,17609
598,,17799
599,,17622
600,,17798
601,,17385
602,,17861
603,,17692
604,,17768
605,,17905
606,,17961
607,,17659
608,,17570
609,,17471
610,,17493
611,,17437
612,,17596
613,,17461
614,,17232
615,,16784
616,,16822
617,,16566
618,,16445
619,,16509
620,,16626
621,,16799
622,,16985
623,,16972
624,,17335
625,,17358
626,,17556
627,,17346
628,,17507
629,,17368
630,,17564
631,,17510
632,,17736
633,,17618
634,,17781
635,,17722
636,,17481
637,,17637
638,,17540
639,,17796
640,,17858
641,,17596
642,,17830
643,,17576
644,,17538
645,,17600
646,,17589
647,,17666
648,,17930
649,,17762
650,,17817
651,,17667
652,,17642
653,,17483
654,,17943
655,,17826
656,,17583
657,,17664
658,,17783
659,,17527
660,,17707
661,,17745
662,,17510
663,,17552
664,,17687
665,,17539
666,,17494
667,,17603
668,,17210
669,,17176
670,,16846
671,,16634
672,,16747
673,,16750
674,,16790
675,,17290
676,,17282
677,,17135
678,,17406
679,,17463
680,,17434
681,,17674
682,,17536
683,,17563
684,,17642
685,,17645
686,,17453
687,,17786
688,,17729
689,,17759
690,,17528
691,,17807
692,,17649
693,,17994
694,,17877
695,,17816
696,,17608
697,,17721
698,,17822
699,,17746
700,,17823
701,,17714
702,,17555
703,,17678
704,,17662
705,,17570
706,,17663
707,,18010
708,,17870
709,,17470
710,,17587
711,,17857
712,,17908
713,,17630
714,,17575
715,,17728
716,,17772
717,,17678
718,,17797
719,,17709
720,,17366
721,,17585
722,,17429
723,,17178
724,,17211
725,,17279
726,,17258
727,,17455
728,,17039
729,,17347
730,,17582
731,,17466
732,,17654
733,,17587
734,,17789
735,,17653
736,,17491
737,,17489
738,,17831
739,,17761
740,,17796
741,,17820
742,,17671
743,,17740
744,,17705
745,,17898
746,,17763
747,,17591
748,,17917
749,,17632
750,,17693
751,,17722
752,,17646
753,,17719
754,,17654
755,,17680
756,,17517
757,,17523
758,,17856
759,,17455
760,,17661
761,,17642
762,,17550
763,,17545
764,,17253
765,,17114
766,,17258
767,,17050
768,,17118
769,,17227
770,,17503
771,,17782
772,,17383
773,,17579
774,,17712
775,,17699
776,,17685
777,,17567
778,,17931
779,,17821
780,,17556
781,,17799
782,,17921
783,,17689
784,,17869
785,,17678
786,,17794
787,,17524
788,,17742
789,,17672
790,,17726
791,,17719
792,,17681
793,,17939
794,,17646
795,,17758
796,,17669
797,,17783
798,,17722
799,,17664
800,,17572
801,,17829
802,,17684
803,,17690
804,,18062
805,,17808
806,,17668
807,,17625
808,,17565
809,,17859
810,,17463
811,,17466
812,,17510
813,,17588
814,,17456
815,,17531
816,,17183
817,,17287
818,,16976
819,,16910
820,,16813
821,,16833
822,,17223
823,,16815
824,,17226
825,,17678
826,,17377
827,,17659
828,,17664
829,,17826
830,,17693
831,,17655
832,,17768
833,,17549
834,,17716
835,,17987
836,,17784
837,,17717
838,,17522
839,,17936
840,,17791
841,,17631
842,,17982
843,,17897
844,,17629
845,,17910
846,,17761
847,,17696
848,,17602
849,,17766
850,,17820
851,,17754
852,,17748
853,,17667
854,,17887
855,,17926
856,,17787
857,,17885
858,,17722
859,,17745
860,,17544
861,,17539
862,,17558
863,,17647
864,,17605
865,,17526
866,,17589
867,,17527
868,,17459
869,,17469
870,,17262
871,,17066
872,,16842
873,,16560
874,,16358
875,,16392
876,,16371
877,,16720
878,,16790
879,,17188
880,,17433
881,,17485
882,,17588
883,,17654
884,,17546
885,,17503
886,,17572
887,,17511
888,,17583
889,,17564
890,,17719
891,,17556
892,,17922
893,,17561
894,,17969
895,,17857
896,,17791
897,,17646
898,,17849
899,,17759
900,,17732
901,,17768
902,,17819
903,,17909
904,,17811
905,,18071
906,,17748
907,,17718
908,,17839
909,,18050
910,,17770
911,,17708
912,,17680
913,,17876
914,,17748
915,,17995
916,,17876
917,,17810
918,,17714
919,,17802
920,,17911
921,,17895
922,,17870
923,,17755
924,,17826
925,,17783
926,,17902
927,,17975
928,,17925
929,,17888
930,,17732
931,,17781
932,,17865
933,,17832
934,,17935
935,,17731
936,,17628
937,,17657
938,,18010
939,,17738
940,,17951
941,,17917
942,,17999
943,,17939
944,,17876
945,,17647
946,,17544
947,,17785
948,,17689
949,,17698
950,,17603
951,,17888
952,,17720
953,,17606
954,,18029
955,,17499
956,,18004
957,,17802
958,,17878
959,,17809
960,,17855
961,,17736
962,,17863
963,,17922
964,,17765
965,,17801
966,,17901
967,,17738
968,,17629
969,,17878
970,,17751
971,,18039
972,,17771
973,,17612
974,,18003
975,,17923
976,,17826
977,,17917
978,,17827
979,,17648
980,,17804
981,,17839
982,,18101
983,,17676
984,,17648
985,,17706
986,,17779
987,,17690
988,,17687
989,,18138
990,,17744
991,,17776
992,,17756
993,,17834
994,,17709
995,,17861
996,,17581
997,,18256
998,,17845
999,,17763
1000,,17878
1001,,17674
1002,,17611
1003,,17733
1004,,17949
1005,,17826
1006,,17870
1007,,17595
1008,,17785
1009,,17849
1010,,17696
1011,,17976
1012,,17774
1013,,17712
1014,,17839
1015,,17606
1016,,17688
1017,,17919
1018,,18235
1019,,17727
1020,,17898
1021,,17714
1022,,17763
1023,,17763
