Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Amp
High Voltage:,1800
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.20
Upper Discriminator:,1048
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,147.21
Elapsed Live Time:,106.88
Start Time:,January 25, 2023, 01:12:52
End Time:,January 25, 2023, 01:15:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,4
19,,39
20,,75
21,,48
22,,37
23,,25
24,,19
25,,20
26,,25
27,,28
28,,31
29,,35
30,,33
31,,24
32,,36
33,,41
34,,23
35,,49
36,,37
37,,35
38,,42
39,,32
40,,31
41,,36
42,,34
43,,57
44,,84
45,,146
46,,451
47,,3883
48,,6961
49,,6991
50,,6930
51,,6777
52,,6583
53,,6419
54,,6266
55,,6179
56,,5994
57,,5912
58,,5710
59,,5448
60,,5267
61,,5241
62,,4966
63,,4735
64,,4590
65,,4501
66,,4360
67,,4052
68,,3841
69,,3736
70,,3586
71,,3421
72,,3341
73,,3187
74,,3173
75,,3043
76,,2933
77,,2767
78,,2646
79,,2644
80,,2567
81,,2529
82,,2497
83,,2423
84,,2385
85,,2381
86,,2278
87,,2325
88,,2221
89,,2305
90,,2261
91,,2238
92,,2353
93,,2342
94,,2377
95,,2280
96,,2410
97,,2396
98,,2478
99,,2556
100,,2570
101,,2634
102,,2675
103,,2819
104,,2814
105,,2767
106,,2907
107,,2974
108,,3047
109,,3305
110,,3275
111,,3375
112,,3494
113,,3598
114,,3697
115,,3711
116,,3964
117,,4064
118,,4149
119,,4315
120,,4360
121,,4537
122,,4697
123,,4756
124,,4949
125,,5174
126,,5110
127,,5497
128,,5397
129,,5562
130,,5763
131,,5875
132,,5991
133,,6268
134,,6357
135,,6424
136,,6600
137,,6832
138,,6861
139,,7056
140,,7121
141,,7201
142,,7245
143,,7450
144,,7540
145,,7576
146,,7912
147,,7804
148,,8056
149,,7743
150,,8019
151,,8230
152,,8233
153,,8273
154,,8456
155,,8593
156,,8561
157,,8590
158,,8689
159,,8889
160,,8623
161,,8800
162,,8877
163,,8956
164,,9022
165,,9194
166,,8953
167,,9112
168,,9101
169,,9212
170,,9300
171,,9337
172,,9392
173,,9318
174,,9418
175,,9400
176,,9508
177,,9645
178,,9568
179,,9553
180,,9799
181,,9670
182,,9762
183,,9754
184,,9922
185,,10055
186,,9980
187,,10017
188,,9998
189,,10246
190,,10179
191,,10093
192,,10317
193,,10291
194,,10387
195,,10257
196,,10404
197,,10492
198,,10351
199,,10599
200,,10358
201,,10591
202,,10623
203,,10299
204,,10278
205,,10450
206,,10437
207,,10395
208,,10269
209,,10336
210,,10316
211,,10294
212,,10008
213,,10088
214,,10049
215,,9763
216,,9793
217,,9544
218,,9653
219,,9686
220,,9553
221,,9406
222,,9127
223,,8817
224,,8889
225,,8513
226,,8438
227,,8314
228,,8087
229,,8151
230,,7697
231,,7676
232,,7564
233,,7093
234,,7069
235,,6897
236,,6607
237,,6606
238,,6122
239,,6155
240,,5748
241,,5711
242,,5454
243,,5382
244,,4999
245,,4979
246,,4715
247,,4660
248,,4529
249,,4349
250,,4209
251,,4136
252,,3803
253,,3789
254,,3648
255,,3611
256,,3413
257,,3325
258,,3132
259,,3051
260,,3032
261,,2811
262,,2795
263,,2606
264,,2655
265,,2613
266,,2485
267,,2420
268,,2358
269,,2300
270,,2155
271,,2078
272,,2204
273,,2074
274,,2073
275,,1976
276,,1904
277,,1913
278,,1849
279,,1839
280,,1811
281,,1829
282,,1805
283,,1711
284,,1738
285,,1659
286,,1725
287,,1705
288,,1668
289,,1597
290,,1626
291,,1630
292,,1609
293,,1673
294,,1632
295,,1614
296,,1618
297,,1680
298,,1728
299,,1680
300,,1651
301,,1722
302,,1776
303,,1653
304,,1716
305,,1757
306,,1733
307,,1808
308,,1685
309,,1794
310,,1806
311,,1721
312,,1727
313,,1861
314,,1725
315,,1792
316,,1840
317,,1856
318,,1891
319,,1855
320,,1868
321,,1978
