,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Angle,Length
1,0.031,49.354,46.531,14,233.333,5.131,2.785,0,0,0,4.031
2,0.029,67.673,28.744,26.667,191.583,5.863,4.25,0,0,-130.325,3.805
3,0.046,67.463,38.37,18.704,226.941,4.174,2.323,0,0,170.721,5.918
4,0.025,50.987,32.848,18.754,231.515,5.728,1.938,0,0,147.749,3.231
5,0.023,53.122,32.081,15,233.469,5.763,2.088,0,0,151.867,3.02
6,0.023,47.51,43.62,19.729,233.135,5.643,2.6,0,0,172.147,2.929
7,0.034,56.127,43.488,19.382,243.295,4.901,2.838,0,0,-178.995,4.387
8,0.027,52.26,36.859,22.615,235.209,5.451,3.469,0,0,-157.829,3.549
9,0.026,71.003,23.581,36.667,198.833,6.051,4.112,0,0,-128.475,3.352
10,0.021,59.461,41.566,14.049,233.518,7.059,4.177,0,0,-91.44,2.755
11,0.026,68.776,34.288,20.667,240.469,5.586,3.588,0,0,-152.392,3.405
12,0.034,44.692,36.67,13.488,230.127,4.901,2.465,0,0,171.322,4.437
13,0.027,47.583,33.701,17.871,228.295,5.47,2.115,0,0,157.13,3.525
14,0.014,65.191,68.191,14.125,241.971,7.159,1.9,0,0,85.845,1.805
15,0.023,51.388,33.558,19.363,229.502,5.863,1.935,0,0,144.888,3.011
16,0.013,72.096,55.122,8.959,240.721,6.247,2.962,0,0,-169.192,1.725
17,0.02,69.572,39.377,31.083,240.727,5.97,3.415,0,0,-151.28,2.563
18,0.022,66.99,25.891,34.761,195.5,6.32,3.969,0,0,-123.472,2.804
19,0.027,95.873,39.948,36.603,223.999,5.843,4.062,0,0,-134.737,3.553
20,0.037,48.594,40.219,19.105,241.163,4.724,2.719,0,0,178.047,4.743
21,0.022,47.671,33.126,19.713,228.243,5.901,1.985,0,0,145.633,2.89
22,0.018,58.042,28.888,32,191.583,6.463,1.788,0,0,121.947,2.385
23,0.026,69.534,36.495,13.487,236.73,5.432,2.631,0,0,174.184,3.342
24,0.025,71.407,47.545,18.384,245.244,5.505,2.888,0,0,-176.812,3.184
25,0.021,50.339,32.582,21.792,217.932,5.778,2.373,0,0,162.019,2.768
26,0.019,66.004,27.027,37.896,196.75,6.332,3.727,0,0,-129.406,2.4
27,0.024,56.651,36.373,7.604,229.365,7.163,4.331,0,0,-87.41,3.065
28,0.023,65.905,43.966,20.86,236.925,7.013,4.277,0,0,-93.13,2.958
